source,target,value
王昱舜,Computer Vision and Graphics,4
王昱舜,Human-Computer Interaction,2
王昱舜,Sum,6
王國禎,Networks & Communications,4
王國禎,Sum,4
吳育松,Distributed & Parallel Computing,1
吳育松,Security & Privacy,1
吳育松,Sum,2
吳凱強,Hardware, VLSI and CAD,2
吳凱強,Sum,2
李奇育,Networks & Communications,3
李奇育,Security & Privacy,1
李奇育,Sum,4
李毅郎,Hardware, VLSI and CAD,2
李毅郎,Sum,2
易志偉,Distributed & Parallel Computing,1
易志偉,Networks & Communications,5
易志偉,Sum,6
林文杰,Artificial Intelligence,1
林文杰,Computer Vision and Graphics,6
林文杰,Human-Computer Interaction,3
林文杰,Multimedia,1
林文杰,Sum,11
林甫俊,Distributed & Parallel Computing,1
林甫俊,Networks & Communications,1
林甫俊,Sum,2
林盈達,Networks & Communications,2
林盈達,Security & Privacy,3
林盈達,Sum,5
林靖茹,Distributed & Parallel Computing,1
林靖茹,Networks & Communications,5
林靖茹,Sum,6
邱維辰,Artificial Intelligence,1
邱維辰,Computer Vision and Graphics,2
邱維辰,Sum,3
施仁忠,Computer Vision and Graphics,1
施仁忠,Sum,1
洪瑞鴻,Hardware, VLSI and CAD,1
洪瑞鴻,Sum,1
胡毓志,Artificial Intelligence,3
胡毓志,Databases, Data Mining, Information Retrieval,1
胡毓志,Machine Learning & Pattern Recognition,1
胡毓志,Sum,5
范倫達,Machine Learning & Pattern Recognition,1
范倫達,Natural Language & Speech,1
范倫達,Networks & Communications,1
范倫達,Sum,3
孫春在,Artificial Intelligence,2
孫春在,Computer Education,1
孫春在,Sum,3
荊宇泰,Others,1
荊宇泰,Sum,1
張永儒,Computer Vision and Graphics,1
張永儒,Human-Computer Interaction,3
張永儒,Others,1
張永儒,Sum,5
張立平,Hardware, VLSI and CAD,1
張立平,Operating Systems and Embedded Systems,1
張立平,Sum,2
曹孝櫟,Hardware, VLSI and CAD,2
曹孝櫟,Sum,2
莊仁輝,Computer Vision and Graphics,2
莊仁輝,Human-Computer Interaction,1
莊仁輝,Sum,3
莊榮宏,Computer Vision and Graphics,5
莊榮宏,Human-Computer Interaction,3
莊榮宏,Machine Learning & Pattern Recognition,1
莊榮宏,Natural Language & Speech,1
莊榮宏,Sum,10
陳永昇,Artificial Intelligence,1
陳永昇,Computer Vision and Graphics,2
陳永昇,Machine Learning & Pattern Recognition,1
陳永昇,Sum,4
陳冠文,Computer Vision and Graphics,4
陳冠文,Human-Computer Interaction,1
陳冠文,Multimedia,1
陳冠文,Sum,6
陳穎平,Others,1
陳穎平,Sum,1
陳耀宗,Computer Education,1
陳耀宗,Distributed & Parallel Computing,1
陳耀宗,Networks & Communications,5
陳耀宗,Software Engineering,1
陳耀宗,Sum,8
單智君,Distributed & Parallel Computing,1
單智君,Computer Architecture and Code Generation,4
單智君,Sum,5
彭文孝,Artificial Intelligence,1
彭文孝,Computer Vision and Graphics,1
彭文孝,Machine Learning & Pattern Recognition,1
彭文孝,Multimedia,1
彭文孝,Others,2
彭文孝,Sum,6
彭文志,Databases, Data Mining, Information Retrieval,1
彭文志,Others,1
彭文志,Sum,2
曾文貴,Networks & Communications,1
曾文貴,Security & Privacy,1
曾文貴,Others,1
曾文貴,Sum,3
曾新穆,Artificial Intelligence,1
曾新穆,Databases, Data Mining, Information Retrieval,1
曾新穆,Sum,2
曾煜棋,Distributed & Parallel Computing,1
曾煜棋,Networks & Communications,2
曾煜棋,Sum,3
游逸平,Distributed & Parallel Computing,1
游逸平,Hardware, VLSI and CAD,2
游逸平,Computer Architecture and Code Generation,2
游逸平,Programming Languages,1
游逸平,Sum,6
黃世強,Computer Vision and Graphics,4
黃世強,Sum,4
黃俊穎,Multimedia,1
黃俊穎,Networks & Communications,2
黃俊穎,Security & Privacy,1
黃俊穎,Sum,4
黃俊龍,Databases, Data Mining, Information Retrieval,4
黃俊龍,Others,1
黃俊龍,Sum,5
黃國源,Others,3
黃國源,Sum,3
詹力韋,Computer Vision and Graphics,1
詹力韋,Human-Computer Interaction,2
詹力韋,Sum,3
趙禧綠,Networks & Communications,4
趙禧綠,Sum,4
蔡文錦,Computer Vision and Graphics,2
蔡文錦,Sum,2
蔡孟宗,Algorithms & Theory,4
蔡孟宗,Sum,4
蔡淳仁,Others,1
蔡淳仁,Sum,1
蔡錫鈞,Algorithms & Theory,4
蔡錫鈞,Artificial Intelligence,1
蔡錫鈞,Machine Learning & Pattern Recognition,1
蔡錫鈞,Networks & Communications,1
蔡錫鈞,Sum,7
蕭子健,Computer Education,1
蕭子健,Hardware, VLSI and CAD,1
蕭子健,Human-Computer Interaction,1
蕭子健,Sum,3
謝續平,Security & Privacy,6
謝續平,Sum,6
嚴力行,Distributed & Parallel Computing,1
嚴力行,Sum,1
